"","Time","sample","value","strain","replicate","media","background"
"5399",1125,"G11",0.64639513,"wild-type (supplemented)","2","Met (+)","wt"
"5400",1125,"G12",0.47839513,"wild-type (supplemented)","3","Met (+)","wt"
"5401",1140,"B1",0.30939513,"overproducer ∆metJ","1","Met (-)","mutant"
"5402",1140,"B2",0.63539513,"overproducer ∆metJ","2","Met (-)","mutant"
"5403",1140,"B3",0.57339513,"overproducer ∆metJ","3","Met (-)","mutant"
"5404",1140,"B4",0.56339513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5405",1140,"B5",0.64939513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5406",1140,"B6",0.61939513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5407",1140,"B7",1.03239513,"auxotroph ∆metB","1","Met (+)","mutant"
"5408",1140,"B8",0.79939513,"auxotroph ∆metB","2","Met (+)","mutant"
"5409",1140,"B9",1.02239513,"auxotroph ∆metB","3","Met (+)","mutant"
"5410",1140,"B10",0.68339513,"wild-type (supplemented)","1","Met (+)","wt"
"5411",1140,"B11",0.58839513,"wild-type (supplemented)","2","Met (+)","wt"
"5412",1140,"B12",0.73439513,"wild-type (supplemented)","3","Met (+)","wt"
"5413",1140,"C1",0.30939513,"overproducer ∆metJ","1","Met (-)","mutant"
"5414",1140,"C2",0.62339513,"overproducer ∆metJ","2","Met (-)","mutant"
"5415",1140,"C3",0.62739513,"overproducer ∆metJ","3","Met (-)","mutant"
"5416",1140,"C4",0.63039513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5417",1140,"C5",0.55039513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5418",1140,"C6",0.72139513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5419",1140,"C7",0.97139513,"auxotroph ∆metB","1","Met (+)","mutant"
"5420",1140,"C8",0.81939513,"auxotroph ∆metB","2","Met (+)","mutant"
"5421",1140,"C9",1.00139513,"auxotroph ∆metB","3","Met (+)","mutant"
"5422",1140,"C10",0.72039513,"wild-type (supplemented)","1","Met (+)","wt"
"5423",1140,"C11",0.57339513,"wild-type (supplemented)","2","Met (+)","wt"
"5424",1140,"C12",0.65239513,"wild-type (supplemented)","3","Met (+)","wt"
"5425",1140,"D1",0.38439513,"overproducer ∆metJ","1","Met (-)","mutant"
"5426",1140,"D2",0.62339513,"overproducer ∆metJ","2","Met (-)","mutant"
"5427",1140,"D3",0.62439513,"overproducer ∆metJ","3","Met (-)","mutant"
"5428",1140,"D4",0.54839513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5429",1140,"D5",0.50739513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5430",1140,"D6",0.56339513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5431",1140,"D7",1.00539513,"auxotroph ∆metB","1","Met (+)","mutant"
"5432",1140,"D8",0.57039513,"auxotroph ∆metB","2","Met (+)","mutant"
"5433",1140,"D9",0.99039513,"auxotroph ∆metB","3","Met (+)","mutant"
"5434",1140,"D10",0.66739513,"wild-type (supplemented)","1","Met (+)","wt"
"5435",1140,"D11",0.54639513,"wild-type (supplemented)","2","Met (+)","wt"
"5436",1140,"D12",0.65539513,"wild-type (supplemented)","3","Met (+)","wt"
"5437",1140,"E1",0.30139513,"overproducer ∆metJ","1","Met (-)","mutant"
"5438",1140,"E2",0.53739513,"overproducer ∆metJ","2","Met (-)","mutant"
"5439",1140,"E3",0.57539513,"overproducer ∆metJ","3","Met (-)","mutant"
"5440",1140,"E4",0.56439513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5441",1140,"E5",0.46139513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5442",1140,"E6",0.50839513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5443",1140,"E7",0.94939513,"auxotroph ∆metB","1","Met (+)","mutant"
"5444",1140,"E8",0.68739513,"auxotroph ∆metB","2","Met (+)","mutant"
"5445",1140,"E9",0.96639513,"auxotroph ∆metB","3","Met (+)","mutant"
"5446",1140,"E10",0.63139513,"wild-type (supplemented)","1","Met (+)","wt"
"5447",1140,"E11",0.63939513,"wild-type (supplemented)","2","Met (+)","wt"
"5448",1140,"E12",0.55239513,"wild-type (supplemented)","3","Met (+)","wt"
"5449",1140,"F1",0.30539513,"overproducer ∆metJ","1","Met (-)","mutant"
"5450",1140,"F2",0.56539513,"overproducer ∆metJ","2","Met (-)","mutant"
"5451",1140,"F3",0.57339513,"overproducer ∆metJ","3","Met (-)","mutant"
"5452",1140,"F4",0.51139513,"wild-type (unsupplemented)","1","Met (-)","wt"
"5453",1140,"F5",0.38439513,"wild-type (unsupplemented)","2","Met (-)","wt"
"5454",1140,"F6",0.51539513,"wild-type (unsupplemented)","3","Met (-)","wt"
"5455",1140,"F7",0.99239513,"auxotroph ∆metB","1","Met (+)","mutant"
"5456",1140,"F8",0.53239513,"auxotroph ∆metB","2","Met (+)","mutant"
"5457",1140,"F9",0.97439513,"auxotroph ∆metB","3","Met (+)","mutant"
